,AAPL,AMZN,BSX,CI,COST,CVX,GOOGL,GS,HSBC,LMT,MCD,MRK,MSFT,PFE,QQQ,TSLA
1086,141.8011474609375,115.87999725341797,39.880001068115234,283.6820983886719,475.0496520996094,147.79861450195312,98.63999938964844,292.85809326171875,25.167062759399414,392.1334533691406,231.44998168945312,86.37325286865234,238.94134521484375,42.902530670166016,272.4549255371094,242.39999389648438
1087,145.4345245361328,121.08999633789062,41.029998779296875,289.4106750488281,483.4024963378906,153.54576110839844,101.63999938964844,308.2474670410156,26.55512809753418,398.3822326660156,234.55775451660156,87.20196533203125,247.02052307128906,43.21356201171875,281.0211181640625,249.44000244140625
1088,145.733154296875,120.94999694824219,41.29999923706055,290.4082336425781,477.6251220703125,154.4224395751953,101.43000030517578,302.5009765625,25.856307983398438,394.85076904296875,235.13800048828125,87.20196533203125,247.33811950683594,42.883094787597656,280.8717346191406,240.80999755859375
1089,144.76756286621094,120.30000305175781,40.650001525878906,289.4698791503906,479.78289794921875,157.237548828125,101.41999816894531,298.26202392578125,25.26279067993164,392.00592041015625,230.86973571777344,86.26473236083984,244.94613647460938,41.8819694519043,278.6604309082031,238.1300048828125
1090,139.45188903808594,114.55999755859375,39.7599983215332,284.82781982421875,465.52337646484375,155.88357543945312,98.68000030517578,294.7475280761719,25.033042907714844,396.2731628417969,229.33554077148438,86.4225845336914,232.48989868164062,41.1335563659668,268.0423278808594,223.07000732421875
1091,139.7803955078125,113.66999816894531,39.63999938964844,282.21044921875,463.6937255859375,153.06845092773438,97.86000061035156,294.21893310546875,24.640554428100586,402.18841552734375,231.06643676757812,89.26387786865234,227.5371856689453,40.57954025268555,265.3629150390625,222.9600067138672
1092,138.34693908691406,112.20999908447266,39.560001373291016,287.3661804199219,469.3716735839844,153.09767150878906,97.18000030517578,288.02203369140625,24.02789306640625,403.2380676269531,233.13172912597656,89.82621765136719,223.72589111328125,40.74477005004883,261.7173156738281,216.5
1093,137.70985412597656,112.9000015258789,39.599998474121094,284.80804443359375,463.7633361816406,153.5554962158203,97.55999755859375,289.098876953125,23.941736221313477,389.8576354980469,233.14154052734375,89.20467376708984,224.06332397460938,40.851688385009766,261.6276550292969,217.24000549316406
1094,142.3386993408203,112.52999877929688,40.349998474121094,293.9737548828125,465.3642883300781,160.99752807617188,99.05999755859375,300.6115417480469,25.195781707763672,398.235107421875,242.67138671875,91.24685668945312,232.48989868164062,41.775054931640625,267.763427734375,221.72000122070312
1095,137.7496795654297,106.9000015258789,39.97999954223633,291.6625671386719,452.09912109375,155.99072265625,96.55999755859375,293.68048095703125,24.717138290405273,382.00006103515625,239.14073181152344,90.94102478027344,226.8523406982422,41.658416748046875,259.7151794433594,204.99000549316406
